review_text,rating,len_char,len_word,tokens_clean,clean_text
I don't know but this games are so bored,1,40,9,"['not', 'know', 'bored']",not know bored
Insane character animation,5,26,3,"['insane', 'character', 'animation']",insane character animation
as much as I love this game the new update has made it unplayable as almost everything makes it crash and most times can't even move past the title screen. prob not gonna keep a 30+ gig game if I can't even play it 🥀,1,216,45,"['much', 'love', 'new', 'update', 'make', 'unplayable', 'almost', 'everything', 'make', 'crash', 'time', 'not', 'even', 'move', 'past', 'title', 'screen', 'prob', 'not', 'gon', 'na', 'keep', 'gig', 'not', 'even']",much love new update make unplayable almost everything make crash time not even move past title screen prob not gon na keep gig not even
"Powercreep, Greed, Never listen to players feedback Just another Hoyogame that's going down the Path of Greed New characters will be useless in a few patches and forced to pull new characters just to only clear contents It was such a nice game, but it's always the devs make it worst due to greed",1,296,54,"['powercreep', 'greed', 'never', 'listen', 'feedback', 'another', 'hoyogame', 'go', 'path', 'greed', 'new', 'character', 'useless', 'patch', 'force', 'pull', 'new', 'character', 'clear', 'content', 'nice', 'always', 'devs', 'make', 'bad', 'due', 'greed']",powercreep greed never listen feedback another hoyogame go path greed new character useless patch force pull new character clear content nice always devs make bad due greed
I face Login problem for a long time. I have faced the issue too many times try again later,2,91,19,"['face', 'login', 'problem', 'long', 'face', 'issue', 'many', 'time', 'try', 'later']",face login problem long face issue many time try later
"for the end game content update, enemy hp should not be increased to several million. It's will be extremely hard for new players or returning players.",3,151,26,"['end', 'update', 'enemy', 'health', 'not', 'increase', 'several', 'million', 'extremely', 'hard', 'new', 'return']",end update enemy health not increase several million extremely hard new return
"People keeps complaining some petty things, as a F2P I have no problem completing everything up to date both main and side story. Just keep on trying mix and match to build a team base on which character you have.",5,213,40,"['people', 'keep', 'complain', 'petty', 'thing', 'free_to_play', 'no', 'problem', 'complete', 'everything', 'date', 'main', 'side', 'story', 'keep', 'try', 'mix', 'match', 'build', 'team', 'base', 'character']",people keep complain petty thing free_to_play no problem complete everything date main side story keep try mix match build team base character
"Belobog arc 5 ⭐ great from beginning to end. Lofu arc 3 ⭐ story unfinished but ok so far. Penacony arc 2 ⭐ good start, bad middle, good end, horrible epilogue full of singing brain rot monkeys. Amphoreus arc 1⭐ mediocre start, long painful middle repeating the same story over and over. ending good. epilogue dumb. additionally this arc had endless problems throughout all its patches. Regardless of reason whether it be greed or politics they gave an awful experience and continues to do so.",1,492,85,"['belobog', 'arc', 'great', 'begin', 'end', 'lofu', 'arc', 'story', 'unfinished', 'ok', 'far', 'penacony', 'arc', 'good', 'start', 'bad', 'middle', 'good', 'end', 'horrible', 'epilogue', 'full', 'singing', 'brain', 'rot', 'monkey', 'amphoreus', 'arc', 'mediocre', 'start', 'long', 'painful', 'middle', 'repeat', 'story', 'end', 'good', 'epilogue', 'dumb', 'additionally', 'arc', 'endless', 'problem', 'throughout', 'patch', 'regardless', 'reason', 'whether', 'greed', 'politics', 'give', 'awful', 'experience', 'continue']",belobog arc great begin end lofu arc story unfinished ok far penacony arc good start bad middle good end horrible epilogue full singing brain rot monkey amphoreus arc mediocre start long painful middle repeat story end good epilogue dumb additionally arc endless problem throughout patch regardless reason whether greed politics give awful experience continue
i love this game but can't you guys idk maybe compress the files for us mobile users like what wuthering waves and genshin impact did because id like an option to just download like 20 gb instead of 40 gb,2,204,40,"['love', 'not', 'guys', 'idk', 'maybe', 'compress', 'file', 'u', 'mobile', 'user', 'like', 'wuthering', 'wave', 'genshin', 'impact', 'id', 'like', 'option', 'download', 'like', 'gb', 'instead', 'gb']",love not guys idk maybe compress file u mobile user like wuthering wave genshin impact id like option download like gb instead gb
The level of greed is actually disgusting,1,41,7,"['level', 'greed', 'actually', 'disgust']",level greed actually disgust
"cyrene kit bad, pls fix.",1,24,5,"['cyrene', 'kit', 'bad', 'pls', 'fix']",cyrene kit bad pls fix
